#TLD,TYPE
aaa,generic
aarp,generic
abarth,generic
abb,generic
abbott,generic
abbvie,generic
abc,generic
able,generic
abogado,generic
abudhabi,generic
ac,country-code
academy,generic
accenture,generic
accountant,generic
accountants,generic
aco,generic
active,generic
actor,generic
ad,country-code
adac,generic
ads,generic
adult,generic
ae,country-code
aeg,generic
aero,sponsored
aetna,generic
af,country-code
afamilycompany,generic
afl,generic
africa,generic
ag,country-code
agakhan,generic
agency,generic
ai,country-code
aig,generic
aigo,generic
airbus,generic
airforce,generic
airtel,generic
akdn,generic
al,country-code
alfaromeo,generic
alibaba,generic
alipay,generic
allfinanz,generic
allstate,generic
ally,generic
alsace,generic
alstom,generic
am,country-code
amazon,generic
americanexpress,generic
americanfamily,generic
amex,generic
amfam,generic
amica,generic
amsterdam,generic
an,country-code
analytics,generic
android,generic
anquan,generic
anz,generic
ao,country-code
aol,generic
apartments,generic
app,generic
apple,generic
aq,country-code
aquarelle,generic
ar,country-code
arab,generic
aramco,generic
archi,generic
army,generic
arpa,infrastructure
art,generic
arte,generic
as,country-code
asda,generic
asia,sponsored
associates,generic
at,country-code
athleta,generic
attorney,generic
au,country-code
auction,generic
audi,generic
audible,generic
audio,generic
auspost,generic
author,generic
auto,generic
autos,generic
avianca,generic
aw,country-code
aws,generic
ax,country-code
axa,generic
az,country-code
azure,generic
ba,country-code
baby,generic
baidu,generic
banamex,generic
bananarepublic,generic
band,generic
bank,generic
bar,generic
barcelona,generic
barclaycard,generic
barclays,generic
barefoot,generic
bargains,generic
baseball,generic
basketball,generic
bauhaus,generic
bayern,generic
bb,country-code
bbc,generic
bbt,generic
bbva,generic
bcg,generic
bcn,generic
bd,country-code
be,country-code
beats,generic
beauty,generic
beer,generic
bentley,generic
berlin,generic
best,generic
bestbuy,generic
bet,generic
bf,country-code
bg,country-code
bh,country-code
bharti,generic
bi,country-code
bible,generic
bid,generic
bike,generic
bing,generic
bingo,generic
bio,generic
biz,generic-restricted
bj,country-code
bl,country-code
black,generic
blackfriday,generic
blanco,generic
blockbuster,generic
blog,generic
bloomberg,generic
blue,generic
bm,country-code
bms,generic
bmw,generic
bn,country-code
bnl,generic
bnpparibas,generic
bo,country-code
boats,generic
boehringer,generic
bofa,generic
bom,generic
bond,generic
boo,generic
book,generic
booking,generic
boots,generic
bosch,generic
bostik,generic
boston,generic
bot,generic
boutique,generic
box,generic
bq,country-code
br,country-code
bradesco,generic
bridgestone,generic
broadway,generic
broker,generic
brother,generic
brussels,generic
